Date,GrAge_Admission,Statut_Vaccinal,Nb_Nvelles_Hosp
2021-09-03,0-9 ans,Vacciné 1 dose,0
2021-09-03,0-9 ans,Vacciné 2 doses,0
2021-09-03,10-19 ans,Non-vacciné,0
2021-09-03,10-19 ans,Vacciné 1 dose,0
2021-09-03,10-19 ans,Vacciné 2 doses,0
2021-09-03,20-29 ans,Non-vacciné,2
2021-09-03,20-29 ans,Vacciné 1 dose,0
2021-09-03,20-29 ans,Vacciné 2 doses,0
2021-09-03,30-39 ans,Non-vacciné,1
2021-09-03,30-39 ans,Vacciné 1 dose,0
2021-09-03,30-39 ans,Vacciné 2 doses,0
2021-09-03,40-49 ans,Non-vacciné,5
2021-09-03,40-49 ans,Vacciné 1 dose,0
2021-09-03,40-49 ans,Vacciné 2 doses,1
2021-09-03,50-59 ans,Non-vacciné,2
2021-09-03,50-59 ans,Vacciné 1 dose,0
2021-09-03,50-59 ans,Vacciné 2 doses,2
2021-09-03,60-69 ans,Non-vacciné,3
2021-09-03,60-69 ans,Vacciné 1 dose,0
2021-09-03,60-69 ans,Vacciné 2 doses,0
2021-09-03,70-79 ans,Non-vacciné,2
2021-09-03,70-79 ans,Vacciné 1 dose,1
2021-09-03,70-79 ans,Vacciné 2 doses,1
2021-09-03,80-89 ans,Non-vacciné,0
2021-09-03,80-89 ans,Vacciné 1 dose,0
2021-09-03,80-89 ans,Vacciné 2 doses,1
2021-09-03,90 ans et plus,Non-vacciné,2
2021-09-03,90 ans et plus,Vacciné 1 dose,1
2021-09-03,90 ans et plus,Vacciné 2 doses,0
2021-09-04,0-9 ans,0 à 4 ans,0
2021-09-04,0-9 ans,Non-vacciné,0
2021-09-04,0-9 ans,Vacciné 1 dose,0
2021-09-04,0-9 ans,Vacciné 2 doses,0
2021-09-04,10-19 ans,Non-vacciné,0
2021-09-04,10-19 ans,Vacciné 1 dose,0
2021-09-04,10-19 ans,Vacciné 2 doses,0
2021-09-04,20-29 ans,Non-vacciné,0
2021-09-04,20-29 ans,Vacciné 1 dose,0
2021-09-04,20-29 ans,Vacciné 2 doses,0
2021-09-04,30-39 ans,Non-vacciné,4
2021-09-04,30-39 ans,Vacciné 1 dose,0
2021-09-04,30-39 ans,Vacciné 2 doses,1
2021-09-04,40-49 ans,Non-vacciné,3
2021-09-04,40-49 ans,Vacciné 1 dose,0
2021-09-04,40-49 ans,Vacciné 2 doses,0
2021-09-04,50-59 ans,Non-vacciné,5
2021-09-04,50-59 ans,Vacciné 1 dose,0
2021-09-04,50-59 ans,Vacciné 2 doses,1
2021-09-04,60-69 ans,Non-vacciné,2
2021-09-04,60-69 ans,Vacciné 1 dose,0
2021-09-04,60-69 ans,Vacciné 2 doses,1
2021-09-04,70-79 ans,Non-vacciné,4
2021-09-04,70-79 ans,Vacciné 1 dose,1
2021-09-04,70-79 ans,Vacciné 2 doses,2
2021-09-04,80-89 ans,Non-vacciné,1
2021-09-04,80-89 ans,Vacciné 1 dose,0
2021-09-04,80-89 ans,Vacciné 2 doses,1
2021-09-04,90 ans et plus,Non-vacciné,1
2021-09-04,90 ans et plus,Vacciné 1 dose,0
2021-09-04,90 ans et plus,Vacciné 2 doses,0
2021-09-05,0-9 ans,0 à 4 ans,0
2021-09-05,0-9 ans,Non-vacciné,1
2021-09-05,0-9 ans,Vacciné 1 dose,0
2021-09-05,0-9 ans,Vacciné 2 doses,0
2021-09-05,10-19 ans,Non-vacciné,0
2021-09-05,10-19 ans,Vacciné 1 dose,0
2021-09-05,10-19 ans,Vacciné 2 doses,0
2021-09-05,20-29 ans,Non-vacciné,4
2021-09-05,20-29 ans,Vacciné 1 dose,0
2021-09-05,20-29 ans,Vacciné 2 doses,0
2021-09-05,30-39 ans,Non-vacciné,3
2021-09-05,30-39 ans,Vacciné 1 dose,0
2021-09-05,30-39 ans,Vacciné 2 doses,1
2021-09-05,40-49 ans,Non-vacciné,1
2021-09-05,40-49 ans,Vacciné 1 dose,0
2021-09-05,40-49 ans,Vacciné 2 doses,1
2021-09-05,50-59 ans,Non-vacciné,4
2021-09-05,50-59 ans,Vacciné 1 dose,1
2021-09-05,50-59 ans,Vacciné 2 doses,1
2021-09-05,60-69 ans,Non-vacciné,2
2021-09-05,60-69 ans,Vacciné 1 dose,0
2021-09-05,60-69 ans,Vacciné 2 doses,0
2021-09-05,70-79 ans,Non-vacciné,1
2021-09-05,70-79 ans,Vacciné 1 dose,0
2021-09-05,70-79 ans,Vacciné 2 doses,2
2021-09-05,80-89 ans,Non-vacciné,2
2021-09-05,80-89 ans,Vacciné 1 dose,0
2021-09-05,80-89 ans,Vacciné 2 doses,1
2021-09-05,90 ans et plus,Non-vacciné,0
2021-09-05,90 ans et plus,Vacciné 1 dose,0
2021-09-05,90 ans et plus,Vacciné 2 doses,1
2021-09-06,0-9 ans,0 à 4 ans,0
2021-09-06,0-9 ans,Non-vacciné,0
2021-09-06,0-9 ans,Vacciné 1 dose,0
2021-09-06,0-9 ans,Vacciné 2 doses,0
2021-09-06,10-19 ans,Non-vacciné,0
2021-09-06,10-19 ans,Vacciné 1 dose,0
2021-09-06,10-19 ans,Vacciné 2 doses,0
2021-09-06,20-29 ans,Non-vacciné,0
2021-09-06,20-29 ans,Vacciné 1 dose,0
2021-09-06,20-29 ans,Vacciné 2 doses,0
2021-09-06,30-39 ans,Non-vacciné,0
2021-09-06,30-39 ans,Vacciné 1 dose,0
2021-09-06,30-39 ans,Vacciné 2 doses,1
2021-09-06,40-49 ans,Non-vacciné,4
2021-09-06,40-49 ans,Vacciné 1 dose,0
2021-09-06,40-49 ans,Vacciné 2 doses,0
2021-09-06,50-59 ans,Non-vacciné,1
2021-09-06,50-59 ans,Vacciné 1 dose,0
2021-09-06,50-59 ans,Vacciné 2 doses,1
2021-09-06,60-69 ans,Non-vacciné,2
2021-09-06,60-69 ans,Vacciné 1 dose,0
2021-09-06,60-69 ans,Vacciné 2 doses,1
2021-09-06,70-79 ans,Non-vacciné,0
2021-09-06,70-79 ans,Vacciné 1 dose,0
2021-09-06,70-79 ans,Vacciné 2 doses,3
2021-09-06,80-89 ans,Non-vacciné,0
2021-09-06,80-89 ans,Vacciné 1 dose,0
2021-09-06,80-89 ans,Vacciné 2 doses,0
2021-09-06,90 ans et plus,Non-vacciné,0
2021-09-06,90 ans et plus,Vacciné 1 dose,0
2021-09-06,90 ans et plus,Vacciné 2 doses,1
2021-09-07,0-9 ans,0 à 4 ans,2
2021-09-07,0-9 ans,Non-vacciné,0
2021-09-07,0-9 ans,Vacciné 1 dose,0
2021-09-07,0-9 ans,Vacciné 2 doses,0
2021-09-07,10-19 ans,Non-vacciné,0
2021-09-07,10-19 ans,Vacciné 1 dose,0
2021-09-07,10-19 ans,Vacciné 2 doses,0
2021-09-07,20-29 ans,Non-vacciné,1
2021-09-07,20-29 ans,Vacciné 1 dose,0
2021-09-07,20-29 ans,Vacciné 2 doses,1
2021-09-07,30-39 ans,Non-vacciné,5
2021-09-07,30-39 ans,Vacciné 1 dose,0
2021-09-07,30-39 ans,Vacciné 2 doses,1
2021-09-07,40-49 ans,Non-vacciné,0
2021-09-07,40-49 ans,Vacciné 1 dose,0
2021-09-07,40-49 ans,Vacciné 2 doses,1
2021-09-07,50-59 ans,Non-vacciné,1
2021-09-07,50-59 ans,Vacciné 1 dose,1
2021-09-07,50-59 ans,Vacciné 2 doses,0
2021-09-07,60-69 ans,Non-vacciné,4
2021-09-07,60-69 ans,Vacciné 1 dose,0
2021-09-07,60-69 ans,Vacciné 2 doses,0
2021-09-07,70-79 ans,Non-vacciné,4
2021-09-07,70-79 ans,Vacciné 1 dose,1
2021-09-07,70-79 ans,Vacciné 2 doses,1
2021-09-07,80-89 ans,Non-vacciné,0
2021-09-07,80-89 ans,Vacciné 1 dose,0
2021-09-07,80-89 ans,Vacciné 2 doses,3
2021-09-07,90 ans et plus,Non-vacciné,0
2021-09-07,90 ans et plus,Vacciné 1 dose,0
2021-09-07,90 ans et plus,Vacciné 2 doses,0
2021-09-08,0-9 ans,0 à 4 ans,2
2021-09-08,0-9 ans,Non-vacciné,1
2021-09-08,0-9 ans,Vacciné 1 dose,0
2021-09-08,0-9 ans,Vacciné 2 doses,0
2021-09-08,10-19 ans,Non-vacciné,1
2021-09-08,10-19 ans,Vacciné 1 dose,0
2021-09-08,10-19 ans,Vacciné 2 doses,0
2021-09-08,20-29 ans,Non-vacciné,1
2021-09-08,20-29 ans,Vacciné 1 dose,1
2021-09-08,20-29 ans,Vacciné 2 doses,0
2021-09-08,30-39 ans,Non-vacciné,2
2021-09-08,30-39 ans,Vacciné 1 dose,0
2021-09-08,30-39 ans,Vacciné 2 doses,0
2021-09-08,40-49 ans,Non-vacciné,2
2021-09-08,40-49 ans,Vacciné 1 dose,0
2021-09-08,40-49 ans,Vacciné 2 doses,0
2021-09-08,50-59 ans,Non-vacciné,4
2021-09-08,50-59 ans,Vacciné 1 dose,1
2021-09-08,50-59 ans,Vacciné 2 doses,0
2021-09-08,60-69 ans,Non-vacciné,1
2021-09-08,60-69 ans,Vacciné 1 dose,0
2021-09-08,60-69 ans,Vacciné 2 doses,1
2021-09-08,70-79 ans,Non-vacciné,1
2021-09-08,70-79 ans,Vacciné 1 dose,0
2021-09-08,70-79 ans,Vacciné 2 doses,2
2021-09-08,80-89 ans,Non-vacciné,1
2021-09-08,80-89 ans,Vacciné 1 dose,0
2021-09-08,80-89 ans,Vacciné 2 doses,1
2021-09-08,90 ans et plus,Non-vacciné,0
2021-09-08,90 ans et plus,Vacciné 1 dose,0
2021-09-08,90 ans et plus,Vacciné 2 doses,1
2021-09-09,0-9 ans,0 à 4 ans,0
2021-09-09,0-9 ans,Non-vacciné,0
2021-09-09,0-9 ans,Vacciné 1 dose,0
2021-09-09,0-9 ans,Vacciné 2 doses,0
2021-09-09,10-19 ans,Non-vacciné,1
2021-09-09,10-19 ans,Vacciné 1 dose,0
2021-09-09,10-19 ans,Vacciné 2 doses,0
2021-09-09,20-29 ans,Non-vacciné,2
2021-09-09,20-29 ans,Vacciné 1 dose,0
2021-09-09,20-29 ans,Vacciné 2 doses,1
2021-09-09,30-39 ans,Non-vacciné,4
2021-09-09,30-39 ans,Vacciné 1 dose,0
2021-09-09,30-39 ans,Vacciné 2 doses,0
2021-09-09,40-49 ans,Non-vacciné,2
2021-09-09,40-49 ans,Vacciné 1 dose,1
2021-09-09,40-49 ans,Vacciné 2 doses,1
2021-09-09,50-59 ans,Non-vacciné,7
2021-09-09,50-59 ans,Vacciné 1 dose,0
2021-09-09,50-59 ans,Vacciné 2 doses,0
2021-09-09,60-69 ans,Non-vacciné,4
2021-09-09,60-69 ans,Vacciné 1 dose,0
2021-09-09,60-69 ans,Vacciné 2 doses,0
2021-09-09,70-79 ans,Non-vacciné,2
2021-09-09,70-79 ans,Vacciné 1 dose,0
2021-09-09,70-79 ans,Vacciné 2 doses,0
2021-09-09,80-89 ans,Non-vacciné,1
2021-09-09,80-89 ans,Vacciné 1 dose,0
2021-09-09,80-89 ans,Vacciné 2 doses,5
2021-09-09,90 ans et plus,Non-vacciné,0
2021-09-09,90 ans et plus,Vacciné 1 dose,0
2021-09-09,90 ans et plus,Vacciné 2 doses,1
2021-09-10,0-9 ans,0 à 4 ans,0
2021-09-10,0-9 ans,Non-vacciné,0
2021-09-10,0-9 ans,Vacciné 1 dose,0
2021-09-10,0-9 ans,Vacciné 2 doses,0
2021-09-10,10-19 ans,Non-vacciné,1
2021-09-10,10-19 ans,Vacciné 1 dose,0
2021-09-10,10-19 ans,Vacciné 2 doses,0
2021-09-10,20-29 ans,Non-vacciné,3
2021-09-10,20-29 ans,Vacciné 1 dose,0
2021-09-10,20-29 ans,Vacciné 2 doses,0
2021-09-10,30-39 ans,Non-vacciné,3
2021-09-10,30-39 ans,Vacciné 1 dose,0
2021-09-10,30-39 ans,Vacciné 2 doses,0
2021-09-10,40-49 ans,Non-vacciné,4
2021-09-10,40-49 ans,Vacciné 1 dose,0
2021-09-10,40-49 ans,Vacciné 2 doses,0
2021-09-10,50-59 ans,Non-vacciné,2
2021-09-10,50-59 ans,Vacciné 1 dose,0
2021-09-10,50-59 ans,Vacciné 2 doses,1
2021-09-10,60-69 ans,Non-vacciné,2
2021-09-10,60-69 ans,Vacciné 1 dose,0
2021-09-10,60-69 ans,Vacciné 2 doses,0
2021-09-10,70-79 ans,Non-vacciné,4
2021-09-10,70-79 ans,Vacciné 1 dose,1
2021-09-10,70-79 ans,Vacciné 2 doses,1
2021-09-10,80-89 ans,Non-vacciné,0
2021-09-10,80-89 ans,Vacciné 1 dose,1
2021-09-10,80-89 ans,Vacciné 2 doses,2
2021-09-10,90 ans et plus,Non-vacciné,0
2021-09-10,90 ans et plus,Vacciné 1 dose,0
2021-09-10,90 ans et plus,Vacciné 2 doses,5
2021-09-11,0-9 ans,0 à 4 ans,0
2021-09-11,0-9 ans,Non-vacciné,0
2021-09-11,0-9 ans,Vacciné 1 dose,0
2021-09-11,0-9 ans,Vacciné 2 doses,0
2021-09-11,10-19 ans,Non-vacciné,0
2021-09-11,10-19 ans,Vacciné 1 dose,0
2021-09-11,10-19 ans,Vacciné 2 doses,0
2021-09-11,20-29 ans,Non-vacciné,2
2021-09-11,20-29 ans,Vacciné 1 dose,0
2021-09-11,20-29 ans,Vacciné 2 doses,0
2021-09-11,30-39 ans,Non-vacciné,3
2021-09-11,30-39 ans,Vacciné 1 dose,0
2021-09-11,30-39 ans,Vacciné 2 doses,1
2021-09-11,40-49 ans,Non-vacciné,2
2021-09-11,40-49 ans,Vacciné 1 dose,0
2021-09-11,40-49 ans,Vacciné 2 doses,1
2021-09-11,50-59 ans,Non-vacciné,7
2021-09-11,50-59 ans,Vacciné 1 dose,0
2021-09-11,50-59 ans,Vacciné 2 doses,0
2021-09-11,60-69 ans,Non-vacciné,4
2021-09-11,60-69 ans,Vacciné 1 dose,0
2021-09-11,60-69 ans,Vacciné 2 doses,2
2021-09-11,70-79 ans,Non-vacciné,4
2021-09-11,70-79 ans,Vacciné 1 dose,1
2021-09-11,70-79 ans,Vacciné 2 doses,4
2021-09-11,80-89 ans,Non-vacciné,0
2021-09-11,80-89 ans,Vacciné 1 dose,1
2021-09-11,80-89 ans,Vacciné 2 doses,1
2021-09-11,90 ans et plus,Non-vacciné,0
2021-09-11,90 ans et plus,Vacciné 1 dose,0
2021-09-11,90 ans et plus,Vacciné 2 doses,2
2021-09-12,0-9 ans,0 à 4 ans,0
2021-09-12,0-9 ans,Non-vacciné,0
2021-09-12,0-9 ans,Vacciné 1 dose,0
2021-09-12,0-9 ans,Vacciné 2 doses,0
2021-09-12,10-19 ans,Non-vacciné,1
2021-09-12,10-19 ans,Vacciné 1 dose,0
2021-09-12,10-19 ans,Vacciné 2 doses,0
2021-09-12,20-29 ans,Non-vacciné,1
2021-09-12,20-29 ans,Vacciné 1 dose,0
2021-09-12,20-29 ans,Vacciné 2 doses,0
2021-09-12,30-39 ans,Non-vacciné,1
2021-09-12,30-39 ans,Vacciné 1 dose,0
2021-09-12,30-39 ans,Vacciné 2 doses,0
2021-09-12,40-49 ans,Non-vacciné,1
2021-09-12,40-49 ans,Vacciné 1 dose,0
2021-09-12,40-49 ans,Vacciné 2 doses,0
2021-09-12,50-59 ans,Non-vacciné,2
2021-09-12,50-59 ans,Vacciné 1 dose,0
2021-09-12,50-59 ans,Vacciné 2 doses,0
2021-09-12,60-69 ans,Non-vacciné,1
2021-09-12,60-69 ans,Vacciné 1 dose,0
2021-09-12,60-69 ans,Vacciné 2 doses,2
2021-09-12,70-79 ans,Non-vacciné,4
2021-09-12,70-79 ans,Vacciné 1 dose,0
2021-09-12,70-79 ans,Vacciné 2 doses,3
2021-09-12,80-89 ans,Non-vacciné,1
2021-09-12,80-89 ans,Vacciné 1 dose,0
2021-09-12,80-89 ans,Vacciné 2 doses,4
2021-09-12,90 ans et plus,Non-vacciné,0
2021-09-12,90 ans et plus,Vacciné 1 dose,0
2021-09-12,90 ans et plus,Vacciné 2 doses,1
2021-09-13,0-9 ans,0 à 4 ans,0
2021-09-13,0-9 ans,Non-vacciné,1
2021-09-13,0-9 ans,Vacciné 1 dose,0
2021-09-13,0-9 ans,Vacciné 2 doses,0
2021-09-13,10-19 ans,Non-vacciné,0
2021-09-13,10-19 ans,Vacciné 1 dose,1
2021-09-13,10-19 ans,Vacciné 2 doses,0
2021-09-13,20-29 ans,Non-vacciné,2
2021-09-13,20-29 ans,Vacciné 1 dose,0
2021-09-13,20-29 ans,Vacciné 2 doses,0
2021-09-13,30-39 ans,Non-vacciné,4
2021-09-13,30-39 ans,Vacciné 1 dose,0
2021-09-13,30-39 ans,Vacciné 2 doses,0
2021-09-13,40-49 ans,Non-vacciné,4
2021-09-13,40-49 ans,Vacciné 1 dose,0
2021-09-13,40-49 ans,Vacciné 2 doses,0
2021-09-13,50-59 ans,Non-vacciné,3
2021-09-13,50-59 ans,Vacciné 1 dose,0
2021-09-13,50-59 ans,Vacciné 2 doses,0
2021-09-13,60-69 ans,Non-vacciné,2
2021-09-13,60-69 ans,Vacciné 1 dose,0
2021-09-13,60-69 ans,Vacciné 2 doses,2
2021-09-13,70-79 ans,Non-vacciné,0
2021-09-13,70-79 ans,Vacciné 1 dose,1
2021-09-13,70-79 ans,Vacciné 2 doses,2
2021-09-13,80-89 ans,Non-vacciné,1
2021-09-13,80-89 ans,Vacciné 1 dose,0
2021-09-13,80-89 ans,Vacciné 2 doses,1
2021-09-13,90 ans et plus,Non-vacciné,1
2021-09-13,90 ans et plus,Vacciné 1 dose,0
2021-09-13,90 ans et plus,Vacciné 2 doses,2
2021-09-14,0-9 ans,0 à 4 ans,0
2021-09-14,0-9 ans,Non-vacciné,0
2021-09-14,0-9 ans,Vacciné 1 dose,0
2021-09-14,0-9 ans,Vacciné 2 doses,0
2021-09-14,10-19 ans,Non-vacciné,0
2021-09-14,10-19 ans,Vacciné 1 dose,0
2021-09-14,10-19 ans,Vacciné 2 doses,0
2021-09-14,20-29 ans,Non-vacciné,4
2021-09-14,20-29 ans,Vacciné 1 dose,0
2021-09-14,20-29 ans,Vacciné 2 doses,0
2021-09-14,30-39 ans,Non-vacciné,4
2021-09-14,30-39 ans,Vacciné 1 dose,0
2021-09-14,30-39 ans,Vacciné 2 doses,0
2021-09-14,40-49 ans,Non-vacciné,5
2021-09-14,40-49 ans,Vacciné 1 dose,0
2021-09-14,40-49 ans,Vacciné 2 doses,1
2021-09-14,50-59 ans,Non-vacciné,6
2021-09-14,50-59 ans,Vacciné 1 dose,0
2021-09-14,50-59 ans,Vacciné 2 doses,1
2021-09-14,60-69 ans,Non-vacciné,4
2021-09-14,60-69 ans,Vacciné 1 dose,0
2021-09-14,60-69 ans,Vacciné 2 doses,0
2021-09-14,70-79 ans,Non-vacciné,2
2021-09-14,70-79 ans,Vacciné 1 dose,0
2021-09-14,70-79 ans,Vacciné 2 doses,3
2021-09-14,80-89 ans,Non-vacciné,1
2021-09-14,80-89 ans,Vacciné 1 dose,1
2021-09-14,80-89 ans,Vacciné 2 doses,5
2021-09-14,90 ans et plus,Non-vacciné,0
2021-09-14,90 ans et plus,Vacciné 1 dose,0
2021-09-14,90 ans et plus,Vacciné 2 doses,0
2021-09-15,0-9 ans,0 à 4 ans,0
2021-09-15,0-9 ans,Non-vacciné,0
2021-09-15,0-9 ans,Vacciné 1 dose,0
2021-09-15,0-9 ans,Vacciné 2 doses,0
2021-09-15,10-19 ans,Non-vacciné,0
2021-09-15,10-19 ans,Vacciné 1 dose,0
2021-09-15,10-19 ans,Vacciné 2 doses,0
2021-09-15,20-29 ans,Non-vacciné,4
2021-09-15,20-29 ans,Vacciné 1 dose,0
2021-09-15,20-29 ans,Vacciné 2 doses,0
2021-09-15,30-39 ans,Non-vacciné,3
2021-09-15,30-39 ans,Vacciné 1 dose,0
2021-09-15,30-39 ans,Vacciné 2 doses,0
2021-09-15,40-49 ans,Non-vacciné,4
2021-09-15,40-49 ans,Vacciné 1 dose,0
2021-09-15,40-49 ans,Vacciné 2 doses,0
2021-09-15,50-59 ans,Non-vacciné,9
2021-09-15,50-59 ans,Vacciné 1 dose,0
2021-09-15,50-59 ans,Vacciné 2 doses,0
2021-09-15,60-69 ans,Non-vacciné,8
2021-09-15,60-69 ans,Vacciné 1 dose,0
2021-09-15,60-69 ans,Vacciné 2 doses,2
2021-09-15,70-79 ans,Non-vacciné,4
2021-09-15,70-79 ans,Vacciné 1 dose,0
2021-09-15,70-79 ans,Vacciné 2 doses,0
2021-09-15,80-89 ans,Non-vacciné,1
2021-09-15,80-89 ans,Vacciné 1 dose,1
2021-09-15,80-89 ans,Vacciné 2 doses,1
2021-09-15,90 ans et plus,Non-vacciné,0
2021-09-15,90 ans et plus,Vacciné 1 dose,1
2021-09-15,90 ans et plus,Vacciné 2 doses,0
2021-09-16,0-9 ans,0 à 4 ans,1
2021-09-16,0-9 ans,Non-vacciné,1
2021-09-16,0-9 ans,Vacciné 1 dose,0
2021-09-16,0-9 ans,Vacciné 2 doses,0
2021-09-16,10-19 ans,Non-vacciné,0
2021-09-16,10-19 ans,Vacciné 1 dose,0
2021-09-16,10-19 ans,Vacciné 2 doses,0
2021-09-16,20-29 ans,Non-vacciné,4
2021-09-16,20-29 ans,Vacciné 1 dose,0
2021-09-16,20-29 ans,Vacciné 2 doses,2
2021-09-16,30-39 ans,Non-vacciné,3
2021-09-16,30-39 ans,Vacciné 1 dose,1
2021-09-16,30-39 ans,Vacciné 2 doses,0
2021-09-16,40-49 ans,Non-vacciné,3
2021-09-16,40-49 ans,Vacciné 1 dose,0
2021-09-16,40-49 ans,Vacciné 2 doses,0
2021-09-16,50-59 ans,Non-vacciné,4
2021-09-16,50-59 ans,Vacciné 1 dose,0
2021-09-16,50-59 ans,Vacciné 2 doses,0
2021-09-16,60-69 ans,Non-vacciné,4
2021-09-16,60-69 ans,Vacciné 1 dose,1
2021-09-16,60-69 ans,Vacciné 2 doses,1
2021-09-16,70-79 ans,Non-vacciné,2
2021-09-16,70-79 ans,Vacciné 1 dose,0
2021-09-16,70-79 ans,Vacciné 2 doses,3
2021-09-16,80-89 ans,Non-vacciné,2
2021-09-16,80-89 ans,Vacciné 1 dose,0
2021-09-16,80-89 ans,Vacciné 2 doses,7
2021-09-16,90 ans et plus,Non-vacciné,1
2021-09-16,90 ans et plus,Vacciné 1 dose,0
2021-09-16,90 ans et plus,Vacciné 2 doses,0
2021-09-17,0-9 ans,0 à 4 ans,0
2021-09-17,0-9 ans,Non-vacciné,0
2021-09-17,0-9 ans,Vacciné 1 dose,0
2021-09-17,0-9 ans,Vacciné 2 doses,0
2021-09-17,10-19 ans,Non-vacciné,0
2021-09-17,10-19 ans,Vacciné 1 dose,0
2021-09-17,10-19 ans,Vacciné 2 doses,0
2021-09-17,20-29 ans,Non-vacciné,3
2021-09-17,20-29 ans,Vacciné 1 dose,0
2021-09-17,20-29 ans,Vacciné 2 doses,0
2021-09-17,30-39 ans,Non-vacciné,1
2021-09-17,30-39 ans,Vacciné 1 dose,0
2021-09-17,30-39 ans,Vacciné 2 doses,0
2021-09-17,40-49 ans,Non-vacciné,5
2021-09-17,40-49 ans,Vacciné 1 dose,0
2021-09-17,40-49 ans,Vacciné 2 doses,0
2021-09-17,50-59 ans,Non-vacciné,4
2021-09-17,50-59 ans,Vacciné 1 dose,0
2021-09-17,50-59 ans,Vacciné 2 doses,0
2021-09-17,60-69 ans,Non-vacciné,8
2021-09-17,60-69 ans,Vacciné 1 dose,0
2021-09-17,60-69 ans,Vacciné 2 doses,2
2021-09-17,70-79 ans,Non-vacciné,1
2021-09-17,70-79 ans,Vacciné 1 dose,0
2021-09-17,70-79 ans,Vacciné 2 doses,3
2021-09-17,80-89 ans,Non-vacciné,3
2021-09-17,80-89 ans,Vacciné 1 dose,1
2021-09-17,80-89 ans,Vacciné 2 doses,2
2021-09-17,90 ans et plus,Non-vacciné,0
2021-09-17,90 ans et plus,Vacciné 1 dose,0
2021-09-17,90 ans et plus,Vacciné 2 doses,1
2021-09-18,0-9 ans,0 à 4 ans,0
2021-09-18,0-9 ans,Non-vacciné,0
2021-09-18,0-9 ans,Vacciné 1 dose,0
2021-09-18,0-9 ans,Vacciné 2 doses,0
2021-09-18,10-19 ans,Non-vacciné,1
2021-09-18,10-19 ans,Vacciné 1 dose,0
2021-09-18,10-19 ans,Vacciné 2 doses,0
2021-09-18,20-29 ans,Non-vacciné,2
2021-09-18,20-29 ans,Vacciné 1 dose,0
2021-09-18,20-29 ans,Vacciné 2 doses,0
2021-09-18,30-39 ans,Non-vacciné,5
2021-09-18,30-39 ans,Vacciné 1 dose,0
2021-09-18,30-39 ans,Vacciné 2 doses,0
2021-09-18,40-49 ans,Non-vacciné,1
2021-09-18,40-49 ans,Vacciné 1 dose,0
2021-09-18,40-49 ans,Vacciné 2 doses,0
2021-09-18,50-59 ans,Non-vacciné,2
2021-09-18,50-59 ans,Vacciné 1 dose,0
2021-09-18,50-59 ans,Vacciné 2 doses,0
2021-09-18,60-69 ans,Non-vacciné,4
2021-09-18,60-69 ans,Vacciné 1 dose,0
2021-09-18,60-69 ans,Vacciné 2 doses,1
2021-09-18,70-79 ans,Non-vacciné,6
2021-09-18,70-79 ans,Vacciné 1 dose,0
2021-09-18,70-79 ans,Vacciné 2 doses,3
2021-09-18,80-89 ans,Non-vacciné,1
2021-09-18,80-89 ans,Vacciné 1 dose,1
2021-09-18,80-89 ans,Vacciné 2 doses,2
2021-09-18,90 ans et plus,Non-vacciné,0
2021-09-18,90 ans et plus,Vacciné 1 dose,0
2021-09-18,90 ans et plus,Vacciné 2 doses,1
2021-09-19,0-9 ans,0 à 4 ans,1
2021-09-19,0-9 ans,Non-vacciné,0
2021-09-19,0-9 ans,Vacciné 1 dose,0
2021-09-19,0-9 ans,Vacciné 2 doses,0
2021-09-19,10-19 ans,Non-vacciné,0
2021-09-19,10-19 ans,Vacciné 1 dose,0
2021-09-19,10-19 ans,Vacciné 2 doses,0
2021-09-19,20-29 ans,Non-vacciné,3
2021-09-19,20-29 ans,Vacciné 1 dose,0
2021-09-19,20-29 ans,Vacciné 2 doses,0
2021-09-19,30-39 ans,Non-vacciné,3
2021-09-19,30-39 ans,Vacciné 1 dose,0
2021-09-19,30-39 ans,Vacciné 2 doses,1
2021-09-19,40-49 ans,Non-vacciné,2
2021-09-19,40-49 ans,Vacciné 1 dose,0
2021-09-19,40-49 ans,Vacciné 2 doses,0
2021-09-19,50-59 ans,Non-vacciné,3
2021-09-19,50-59 ans,Vacciné 1 dose,0
2021-09-19,50-59 ans,Vacciné 2 doses,0
2021-09-19,60-69 ans,Non-vacciné,6
2021-09-19,60-69 ans,Vacciné 1 dose,0
2021-09-19,60-69 ans,Vacciné 2 doses,0
2021-09-19,70-79 ans,Non-vacciné,1
2021-09-19,70-79 ans,Vacciné 1 dose,0
2021-09-19,70-79 ans,Vacciné 2 doses,1
2021-09-19,80-89 ans,Non-vacciné,0
2021-09-19,80-89 ans,Vacciné 1 dose,0
2021-09-19,80-89 ans,Vacciné 2 doses,2
2021-09-19,90 ans et plus,Non-vacciné,1
2021-09-19,90 ans et plus,Vacciné 1 dose,0
2021-09-19,90 ans et plus,Vacciné 2 doses,0
2021-09-20,0-9 ans,0 à 4 ans,0
2021-09-20,0-9 ans,Non-vacciné,2
2021-09-20,0-9 ans,Vacciné 1 dose,0
2021-09-20,0-9 ans,Vacciné 2 doses,0
2021-09-20,10-19 ans,Non-vacciné,0
2021-09-20,10-19 ans,Vacciné 1 dose,0
2021-09-20,10-19 ans,Vacciné 2 doses,0
2021-09-20,20-29 ans,Non-vacciné,1
2021-09-20,20-29 ans,Vacciné 1 dose,0
2021-09-20,20-29 ans,Vacciné 2 doses,0
